ID,Species,yday,Hour,Day,Mass,deltaM,Temp,RH,VPD,gwc,WP,Rad_weighted,Shoot,Leaf,deltaM.Leaf,deltaM.Shoot,Batch,Group
Acaexu1,Acaexu,266,17,0,5943.4,5.041666667,25.76666667,69.18333333,1.021533268,0.092194903,-0.511445187,797.4169494,6.0147,2.924,1.724236206,0.838224129,14,Tree
Acaexu1,Acaexu,267,13,1,5891.808333,7.191666667,25.24166667,71.925,0.902225817,0.085418355,-0.536614837,797.4169494,6.0147,2.924,2.459530324,1.195681691,14,Tree
Acaexu1,Acaexu,272,8,6,5483.208333,1.758333333,26.08333333,96.15,0.131574449,0.03174888,-0.972001097,797.4169494,6.0147,2.924,0.601345189,0.292339324,14,Tree
Acaexu1,Acaexu,267,19,1,5849.025,6.666666667,25.68333333,70.275,0.980614313,0.079798778,-0.559728968,797.4169494,6.0147,2.924,2.27998176,1.108395542,14,Tree
Acaexu1,Acaexu,273,11,7,5431.9,2.766666667,26.29166667,72.28333333,0.947890252,0.025009548,-1.126633855,797.4169494,6.0147,2.924,0.94619243,0.45998415,14,Tree
Acaexu1,Acaexu,267,7,1,5926.925,0.141666667,23.5,97.64166667,0.068286267,0.090030918,-0.519194561,797.4169494,6.0147,2.924,0.048449612,0.023553405,14,Tree
Acaexu1,Acaexu,271,5,5,5546.491667,0.133333333,23.4,97.51666667,0.071473569,0.040061125,-0.845155321,797.4169494,6.0147,2.924,0.045599635,0.022167911,14,Tree
Acaexu1,Acaexu,272,20,6,5444.041667,1.141666667,23.83333333,71.84166667,0.839480966,0.026604352,-1.083763399,797.4169494,6.0147,2.924,0.390446876,0.189812737,14,Tree
Acaexu1,Acaexu,272,16,6,5453.833333,3.366666667,26.28333333,69.35833333,1.047379728,0.027890484,-1.052419089,797.4169494,6.0147,2.924,1.151390789,0.559739749,14,Tree
Acaexu1,Acaexu,270,23,4,5547.325,0.166666667,23.4,93.825,0.177724545,0.040170583,-0.843782317,797.4169494,6.0147,2.924,0.056999544,0.027709889,14,Tree
Acaexu1,Acaexu,273,5,7,5442.65,0.116666667,23.49166667,97.59166667,0.069697782,0.026421557,-1.088439609,797.4169494,6.0147,2.924,0.039899681,0.019396922,14,Tree
Acaexu1,Acaexu,271,13,5,5516.791667,5.45,26.29166667,71.94166667,0.959435391,0.03616004,-0.898547568,797.4169494,6.0147,2.924,1.863885089,0.906113356,14,Tree
Acaexu1,Acaexu,267,15,1,5877.275,7.391666667,25.79166667,72.65,0.908057922,0.083509407,-0.544217336,797.4169494,6.0147,2.924,2.527929777,1.228933557,14,Tree
Acaexu1,Acaexu,267,8,1,5925.216667,1.708333333,25.775,95.59166667,0.147007667,0.089806529,-0.520012902,797.4169494,6.0147,2.924,0.584245326,0.284026358,14,Tree
Acaexu1,Acaexu,268,4,2,5844.183333,0.108333333,23.475,97.45,0.073727282,0.079162827,-0.562491632,797.4169494,6.0147,2.924,0.037049704,0.018011428,14,Tree
Acaexu1,Acaexu,270,10,4,5617.091667,7.675,25.44166667,74.51666667,0.828713774,0.049334412,-0.746895969,797.4169494,6.0147,2.924,2.624829001,1.276040368,14,Tree
